lookup,School DBN,SchoolName,SchoolType,SchoolLevel,Regents Exam,Year,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,Number Scoring CR,Percent Scoring CR
15K5922015English,15K592,Khalil Gibran International Academy,General Academic,High school,English,2015,43,60.3,20,46.5,23,53.5,7,16.3,14,32.6
15K5922016English,15K592,Khalil Gibran International Academy,General Academic,High school,English,2016,2,s,s,s,s,s,s,s,na,na
15K5922015Geometry,15K592,Khalil Gibran International Academy,General Academic,High school,Geometry,2015,43,62.4,19,44.2,24,55.8,2,4.7,2,4.7
15K5922016Geometry,15K592,Khalil Gibran International Academy,General Academic,High school,Geometry,2016,12,54.3,10,83.3,2,16.7,0,0.0,0,0.0
15K5922015Global History and Geography,15K592,Khalil Gibran International Academy,General Academic,High school,Global History and Geography,2015,81,64.5,42,51.9,39,48.1,20,24.7,na,na
15K5922016Global History and Geography,15K592,Khalil Gibran International Academy,General Academic,High school,Global History and Geography,2016,78,62.2,37,47.4,41,52.6,12,15.4,na,na
15K5922017Global History and Geography,15K592,Khalil Gibran International Academy,General Academic,High school,Global History and Geography,2017,76,54.1,48,63.2,28,36.8,7,9.2,na,na
15K5922015Integrated Algebra,15K592,Khalil Gibran International Academy,General Academic,High school,Integrated Algebra,2015,54,62.7,33,61.1,21,38.9,4,7.4,4,7.4
15K5922016Integrated Algebra,15K592,Khalil Gibran International Academy,General Academic,High school,Integrated Algebra,2016,12,66.9,5,41.7,7,58.3,3,25.0,3,25.0
15K5922015Living Environment,15K592,Khalil Gibran International Academy,General Academic,High school,Living Environment,2015,92,65.9,36,39.1,56,60.9,13,14.1,na,na
15K5922016Living Environment,15K592,Khalil Gibran International Academy,General Academic,High school,Living Environment,2016,67,65.8,24,35.8,43,64.2,11,16.4,na,na
15K5922017Living Environment,15K592,Khalil Gibran International Academy,General Academic,High school,Living Environment,2017,89,59.5,49,55.1,40,44.9,7,7.9,na,na
15K5922015Physical Settings/Chemistry,15K592,Khalil Gibran International Academy,General Academic,High school,Physical Settings/Chemistry,2015,9,53.6,7,77.8,2,22.2,0,0.0,na,na
15K5922016Physical Settings/Chemistry,15K592,Khalil Gibran International Academy,General Academic,High school,Physical Settings/Chemistry,2016,18,55.6,14,77.8,4,22.2,0,0.0,na,na
15K5922017Physical Settings/Chemistry,15K592,Khalil Gibran International Academy,General Academic,High school,Physical Settings/Chemistry,2017,18,56.8,13,72.2,5,27.8,1,5.6,na,na
15K5922015Physical Settings/Earth Science,15K592,Khalil Gibran International Academy,General Academic,High school,Physical Settings/Earth Science,2015,22,50.4,19,86.4,3,13.6,1,4.5,na,na
15K5922016Physical Settings/Earth Science,15K592,Khalil Gibran International Academy,General Academic,High school,Physical Settings/Earth Science,2016,51,55.1,35,68.6,16,31.4,1,2.0,na,na
15K5922017Physical Settings/Earth Science,15K592,Khalil Gibran International Academy,General Academic,High school,Physical Settings/Earth Science,2017,47,50.5,37,78.7,10,21.3,1,2.1,na,na
15K5922017Physical Settings/Physics,15K592,Khalil Gibran International Academy,General Academic,High school,Physical Settings/Physics,2017,4,s,s,s,s,s,s,s,na,na
15K5922015U.S. History and Government,15K592,Khalil Gibran International Academy,General Academic,High school,U.S. History and Government,2015,33,77.8,5,15.2,28,84.8,19,57.6,na,na
15K5922016U.S. History and Government,15K592,Khalil Gibran International Academy,General Academic,High school,U.S. History and Government,2016,59,74.7,12,20.3,47,79.7,26,44.1,na,na
15K5922017U.S. History and Government,15K592,Khalil Gibran International Academy,General Academic,High school,U.S. History and Government,2017,70,69.7,18,25.7,52,74.3,24,34.3,na,na
15K6562015Algebra2/Trigonometry,15K656,Brooklyn High School of the Arts,General Academic,High school,Algebra2/Trigonometry,2015,155,50.9,124,80.0,31,20.0,7,4.5,7,4.5
15K6562016Algebra2/Trigonometry,15K656,Brooklyn High School of the Arts,General Academic,High school,Algebra2/Trigonometry,2016,135,50.1,105,77.8,30,22.2,2,1.5,2,1.5
15K6562015Common Core Algebra,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core Algebra,2015,49,60.5,36,73.5,13,26.5,0,0.0,1,2.0
15K6562016Common Core Algebra,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core Algebra,2016,284,65.9,114,40.1,170,59.9,26,9.2,112,39.4
15K6562017Common Core Algebra,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core Algebra,2017,314,66.4,113,36.0,201,64.0,30,9.6,155,49.4
15K6562016Common Core Algebra2,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core Algebra2,2016,227,51.3,195,85.9,32,14.1,0,0.0,32,14.1
15K6562017Common Core Algebra2,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core Algebra2,2017,86,61.1,49,57.0,37,43.0,4,4.7,37,43.0
15K6562015Common Core English,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core English,2015,231,79.2,13,5.6,218,94.4,126,54.5,178,77.1
15K6562016Common Core English,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core English,2016,252,76.4,32,12.7,220,87.3,124,49.2,165,65.5
15K6562017Common Core English,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core English,2017,232,74.8,40,17.2,192,82.8,118,50.9,151,65.1
15K6562015Common Core Geometry,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core Geometry,2015,211,52.2,180,85.3,31,14.7,0,0.0,13,6.2
15K6562016Common Core Geometry,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core Geometry,2016,134,59.1,84,62.7,50,37.3,1,0.7,26,19.4
15K6562017Common Core Geometry,15K656,Brooklyn High School of the Arts,General Academic,High school,Common Core Geometry,2017,332,58.0,230,69.3,102,30.7,7,2.1,49,14.8
15K6562015English,15K656,Brooklyn High School of the Arts,General Academic,High school,English,2015,80,69.4,27,33.8,53,66.3,19,23.8,36,45.0
15K6562016English,15K656,Brooklyn High School of the Arts,General Academic,High school,English,2016,1,s,s,s,s,s,s,s,na,na
15K6562015Geometry,15K656,Brooklyn High School of the Arts,General Academic,High school,Geometry,2015,267,61.3,146,54.7,121,45.3,6,2.2,6,2.2
15K6562016Geometry,15K656,Brooklyn High School of the Arts,General Academic,High school,Geometry,2016,18,56.8,13,72.2,5,27.8,0,0.0,0,0.0
15K6562015Global History and Geography,15K656,Brooklyn High School of the Arts,General Academic,High school,Global History and Geography,2015,308,67.9,103,33.4,205,66.6,57,18.5,na,na
15K6562016Global History and Geography,15K656,Brooklyn High School of the Arts,General Academic,High school,Global History and Geography,2016,300,65.7,120,40.0,180,60.0,45,15.0,na,na
15K6562017Global History and Geography,15K656,Brooklyn High School of the Arts,General Academic,High school,Global History and Geography,2017,357,66.4,146,40.9,211,59.1,62,17.4,na,na
15K6562015Integrated Algebra,15K656,Brooklyn High School of the Arts,General Academic,High school,Integrated Algebra,2015,253,66.2,97,38.3,156,61.7,20,7.9,20,7.9
15K6562016Integrated Algebra,15K656,Brooklyn High School of the Arts,General Academic,High school,Integrated Algebra,2016,15,59.1,9,60.0,6,40.0,0,0.0,0,0.0
15K6562015Living Environment,15K656,Brooklyn High School of the Arts,General Academic,High school,Living Environment,2015,231,70.2,58,25.1,173,74.9,47,20.3,na,na
15K6562016Living Environment,15K656,Brooklyn High School of the Arts,General Academic,High school,Living Environment,2016,239,69.0,70,29.3,169,70.7,53,22.2,na,na
15K6562017Living Environment,15K656,Brooklyn High School of the Arts,General Academic,High school,Living Environment,2017,248,67.5,92,37.1,156,62.9,51,20.6,na,na
15K6562015Physical Settings/Chemistry,15K656,Brooklyn High School of the Arts,General Academic,High school,Physical Settings/Chemistry,2015,111,53.7,92,82.9,19,17.1,2,1.8,na,na
15K6562016Physical Settings/Chemistry,15K656,Brooklyn High School of the Arts,General Academic,High school,Physical Settings/Chemistry,2016,100,52.4,91,91.0,9,9.0,0,0.0,na,na
15K6562017Physical Settings/Chemistry,15K656,Brooklyn High School of the Arts,General Academic,High school,Physical Settings/Chemistry,2017,55,59.6,38,69.1,17,30.9,1,1.8,na,na
15K6562015Physical Settings/Earth Science,15K656,Brooklyn High School of the Arts,General Academic,High school,Physical Settings/Earth Science,2015,233,61.7,117,50.2,116,49.8,27,11.6,na,na
15K6562016Physical Settings/Earth Science,15K656,Brooklyn High School of the Arts,General Academic,High school,Physical Settings/Earth Science,2016,134,65.7,58,43.3,76,56.7,30,22.4,na,na
15K6562017Physical Settings/Earth Science,15K656,Brooklyn High School of the Arts,General Academic,High school,Physical Settings/Earth Science,2017,243,63.2,122,50.2,121,49.8,33,13.6,na,na
15K6562016Physical Settings/Physics,15K656,Brooklyn High School of the Arts,General Academic,High school,Physical Settings/Physics,2016,9,53.7,8,88.9,1,11.1,0,0.0,na,na
15K6562017Physical Settings/Physics,15K656,Brooklyn High School of the Arts,General Academic,High school,Physical Settings/Physics,2017,12,44.6,11,91.7,1,8.3,0,0.0,na,na
15K6562015U.S. History and Government,15K656,Brooklyn High School of the Arts,General Academic,High school,U.S. History and Government,2015,259,78.3,27,10.4,232,89.6,126,48.6,na,na
15K6562016U.S. History and Government,15K656,Brooklyn High School of the Arts,General Academic,High school,U.S. History and Government,2016,224,70.1,65,29.0,159,71.0,69,30.8,na,na
15K6562017U.S. History and Government,15K656,Brooklyn High School of the Arts,General Academic,High school,U.S. History and Government,2017,223,72.5,55,24.7,168,75.3,62,27.8,na,na
15K6672015Algebra2/Trigonometry,15K667,Sunset Park High School,General Academic,High school,Algebra2/Trigonometry,2015,86,47.7,65,75.6,21,24.4,6,7.0,6,7.0
15K6672016Algebra2/Trigonometry,15K667,Sunset Park High School,General Academic,High school,Algebra2/Trigonometry,2016,118,40.2,111,94.1,7,5.9,3,2.5,3,2.5
15K6672015Common Core Algebra,15K667,Sunset Park High School,General Academic,High school,Common Core Algebra,2015,338,66.1,116,34.3,222,65.7,15,4.4,137,40.5
15K6672016Common Core Algebra,15K667,Sunset Park High School,General Academic,High school,Common Core Algebra,2016,488,64.8,214,43.9,274,56.1,58,11.9,186,38.1
15K6672017Common Core Algebra,15K667,Sunset Park High School,General Academic,High school,Common Core Algebra,2017,445,66.9,158,35.5,287,64.5,50,11.2,205,46.1
15K6672016Common Core Algebra2,15K667,Sunset Park High School,General Academic,High school,Common Core Algebra2,2016,106,54.3,80,75.5,26,24.5,4,3.8,26,24.5
15K6672017Common Core Algebra2,15K667,Sunset Park High School,General Academic,High school,Common Core Algebra2,2017,180,61.4,107,59.4,73,40.6,8,4.4,73,40.6
15K6672015Common Core English,15K667,Sunset Park High School,General Academic,High school,Common Core English,2015,193,58.2,103,53.4,90,46.6,25,13.0,44,22.8
15K6672016Common Core English,15K667,Sunset Park High School,General Academic,High school,Common Core English,2016,283,73.4,51,18.0,232,82.0,124,43.8,163,57.6
15K6672017Common Core English,15K667,Sunset Park High School,General Academic,High school,Common Core English,2017,324,72.8,45,13.9,279,86.1,134,41.4,179,55.2
15K6672015Common Core Geometry,15K667,Sunset Park High School,General Academic,High school,Common Core Geometry,2015,259,49.2,220,84.9,39,15.1,2,0.8,19,7.3
15K6672016Common Core Geometry,15K667,Sunset Park High School,General Academic,High school,Common Core Geometry,2016,266,50.5,216,81.2,50,18.8,4,1.5,21,7.9
15K6672017Common Core Geometry,15K667,Sunset Park High School,General Academic,High school,Common Core Geometry,2017,292,57.3,208,71.2,84,28.8,6,2.1,47,16.1
15K6672015English,15K667,Sunset Park High School,General Academic,High school,English,2015,332,71.0,72,21.7,260,78.3,85,25.6,158,47.6
15K6672016English,15K667,Sunset Park High School,General Academic,High school,English,2016,38,55.7,26,68.4,12,31.6,6,15.8,8,21.1
15K6672015Global History and Geography,15K667,Sunset Park High School,General Academic,High school,Global History and Geography,2015,498,60.1,283,56.8,215,43.2,57,11.4,na,na
15K6672016Global History and Geography,15K667,Sunset Park High School,General Academic,High school,Global History and Geography,2016,499,60.1,294,58.9,205,41.1,55,11.0,na,na
15K6672017Global History and Geography,15K667,Sunset Park High School,General Academic,High school,Global History and Geography,2017,464,61.1,250,53.9,214,46.1,47,10.1,na,na
15K6672015Integrated Algebra,15K667,Sunset Park High School,General Academic,High school,Integrated Algebra,2015,241,64.1,116,48.1,125,51.9,16,6.6,16,6.6
15K6672016Integrated Algebra,15K667,Sunset Park High School,General Academic,High school,Integrated Algebra,2016,27,57.4,19,70.4,8,29.6,0,0.0,0,0.0
15K6672015Living Environment,15K667,Sunset Park High School,General Academic,High school,Living Environment,2015,518,64.7,238,45.9,280,54.1,101,19.5,na,na
15K6672016Living Environment,15K667,Sunset Park High School,General Academic,High school,Living Environment,2016,459,64.3,210,45.8,249,54.2,48,10.5,na,na
15K6672017Living Environment,15K667,Sunset Park High School,General Academic,High school,Living Environment,2017,433,63.9,206,47.6,227,52.4,57,13.2,na,na
15K6672017Physical Settings/Chemistry,15K667,Sunset Park High School,General Academic,High school,Physical Settings/Chemistry,2017,1,s,s,s,s,s,s,s,na,na
15K6672015Physical Settings/Earth Science,15K667,Sunset Park High School,General Academic,High school,Physical Settings/Earth Science,2015,236,62.3,124,52.5,112,47.5,26,11.0,na,na
15K6672016Physical Settings/Earth Science,15K667,Sunset Park High School,General Academic,High school,Physical Settings/Earth Science,2016,288,62.9,163,56.6,125,43.4,62,21.5,na,na
15K6672017Physical Settings/Earth Science,15K667,Sunset Park High School,General Academic,High school,Physical Settings/Earth Science,2017,273,64.6,136,49.8,137,50.2,46,16.8,na,na
15K6672015U.S. History and Government,15K667,Sunset Park High School,General Academic,High school,U.S. History and Government,2015,345,68.4,126,36.5,219,63.5,106,30.7,na,na
15K6672016U.S. History and Government,15K667,Sunset Park High School,General Academic,High school,U.S. History and Government,2016,330,72.6,89,27.0,241,73.0,123,37.3,na,na
15K6672017U.S. History and Government,15K667,Sunset Park High School,General Academic,High school,U.S. History and Government,2017,326,72.3,88,27.0,238,73.0,115,35.3,na,na
15K6842015Algebra2/Trigonometry,15K684,Millennium Brooklyn HS,General Academic,High school,Algebra2/Trigonometry,2015,95,67.0,33,34.7,62,65.3,16,16.8,16,16.8
15K6842016Algebra2/Trigonometry,15K684,Millennium Brooklyn HS,General Academic,High school,Algebra2/Trigonometry,2016,186,71.4,48,25.8,138,74.2,63,33.9,63,33.9
15K6842017Algebra2/Trigonometry,15K684,Millennium Brooklyn HS,General Academic,High school,Algebra2/Trigonometry,2017,7,67.6,3,42.9,4,57.1,0,0.0,0,0.0
15K6842015Common Core Algebra,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core Algebra,2015,103,71.3,1,1.0,102,99.0,3,2.9,71,68.9
15K6842016Common Core Algebra,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core Algebra,2016,116,81.1,1,0.9,115,99.1,80,69.0,112,96.6
15K6842017Common Core Algebra,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core Algebra,2017,95,80.6,3,3.2,92,96.8,65,68.4,91,95.8
15K6842016Common Core Algebra2,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core Algebra2,2016,101,70.0,19,18.8,82,81.2,8,7.9,82,81.2
15K6842017Common Core Algebra2,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core Algebra2,2017,153,73.6,24,15.7,129,84.3,42,27.5,129,84.3
15K6842016Common Core English,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core English,2016,165,88.1,1,0.6,164,99.4,152,92.1,161,97.6
15K6842017Common Core English,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core English,2017,167,93.1,0,0.0,167,100.0,166,99.4,166,99.4
15K6842015Common Core Geometry,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core Geometry,2015,171,67.2,60,35.1,111,64.9,10,5.8,78,45.6
15K6842016Common Core Geometry,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core Geometry,2016,155,72.6,19,12.3,136,87.7,26,16.8,96,61.9
15K6842017Common Core Geometry,15K684,Millennium Brooklyn HS,General Academic,High school,Common Core Geometry,2017,187,74.6,18,9.6,169,90.4,54,28.9,145,77.5
15K6842015English,15K684,Millennium Brooklyn HS,General Academic,High school,English,2015,98,90.0,0,0.0,98,100.0,93,94.9,97,99.0
15K6842016English,15K684,Millennium Brooklyn HS,General Academic,High school,English,2016,3,s,s,s,s,s,s,s,na,na
15K6842015Geometry,15K684,Millennium Brooklyn HS,General Academic,High school,Geometry,2015,173,74.6,18,10.4,155,89.6,42,24.3,42,24.3
15K6842016Geometry,15K684,Millennium Brooklyn HS,General Academic,High school,Geometry,2016,1,s,s,s,s,s,s,s,na,na
15K6842015Global History and Geography,15K684,Millennium Brooklyn HS,General Academic,High school,Global History and Geography,2015,166,83.2,4,2.4,162,97.6,117,70.5,na,na
15K6842016Global History and Geography,15K684,Millennium Brooklyn HS,General Academic,High school,Global History and Geography,2016,175,84.6,4,2.3,171,97.7,133,76.0,na,na
15K6842017Global History and Geography,15K684,Millennium Brooklyn HS,General Academic,High school,Global History and Geography,2017,156,86.1,4,2.6,152,97.4,124,79.5,na,na
15K6842015Integrated Algebra,15K684,Millennium Brooklyn HS,General Academic,High school,Integrated Algebra,2015,12,74.7,2,16.7,10,83.3,6,50.0,6,50.0
15K6842015Living Environment,15K684,Millennium Brooklyn HS,General Academic,High school,Living Environment,2015,114,83.9,0,0.0,114,100.0,84,73.7,na,na
15K6842016Living Environment,15K684,Millennium Brooklyn HS,General Academic,High school,Living Environment,2016,104,85.8,3,2.9,101,97.1,85,81.7,na,na
15K6842017Living Environment,15K684,Millennium Brooklyn HS,General Academic,High school,Living Environment,2017,90,84.2,1,1.1,89,98.9,72,80.0,na,na
15K6842015Physical Settings/Chemistry,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Chemistry,2015,209,71.1,51,24.4,158,75.6,45,21.5,na,na
15K6842016Physical Settings/Chemistry,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Chemistry,2016,121,74.4,20,16.5,101,83.5,36,29.8,na,na
15K6842017Physical Settings/Chemistry,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Chemistry,2017,114,73.6,24,21.1,90,78.9,37,32.5,na,na
15K6842015Physical Settings/Earth Science,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Earth Science,2015,92,78.5,9,9.8,83,90.2,47,51.1,na,na
15K6842016Physical Settings/Earth Science,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Earth Science,2016,121,80.6,4,3.3,117,96.7,75,62.0,na,na
15K6842017Physical Settings/Earth Science,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Earth Science,2017,109,83.7,9,8.3,100,91.7,81,74.3,na,na
15K6842015Physical Settings/Physics,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Physics,2015,46,66.8,15,32.6,31,67.4,8,17.4,na,na
15K6842016Physical Settings/Physics,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Physics,2016,51,71.2,15,29.4,36,70.6,8,15.7,na,na
15K6842017Physical Settings/Physics,15K684,Millennium Brooklyn HS,General Academic,High school,Physical Settings/Physics,2017,102,70.2,31,30.4,71,69.6,28,27.5,na,na
15K6842015U.S. History and Government,15K684,Millennium Brooklyn HS,General Academic,High school,U.S. History and Government,2015,106,88.5,0,0.0,106,100.0,92,86.8,na,na
15K6842016U.S. History and Government,15K684,Millennium Brooklyn HS,General Academic,High school,U.S. History and Government,2016,159,85.1,2,1.3,157,98.7,126,79.2,na,na
15K6842017U.S. History and Government,15K684,Millennium Brooklyn HS,General Academic,High school,U.S. History and Government,2017,145,88.8,0,0.0,145,100.0,118,81.4,na,na
15K6982015Common Core Algebra,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core Algebra,2015,1,s,s,s,s,s,s,s,na,na
15K6982016Common Core Algebra,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core Algebra,2016,9,57.0,7,77.8,2,22.2,0,0.0,1,11.1
15K6982017Common Core Algebra,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core Algebra,2017,16,65.4,9,56.3,7,43.8,2,12.5,5,31.3
15K6982017Common Core Algebra2,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core Algebra2,2017,2,s,s,s,s,s,s,s,na,na
15K6982015Common Core English,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core English,2015,16,71.3,4,25.0,12,75.0,6,37.5,9,56.3
15K6982016Common Core English,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core English,2016,40,70.3,9,22.5,31,77.5,14,35.0,19,47.5
15K6982017Common Core English,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core English,2017,44,73.8,7,15.9,37,84.1,20,45.5,25,56.8
15K6982015Common Core Geometry,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core Geometry,2015,2,s,s,s,s,s,s,s,na,na
15K6982016Common Core Geometry,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core Geometry,2016,6,47.0,6,100.0,0,0.0,0,0.0,0,0.0
15K6982017Common Core Geometry,15K698,South Brooklyn Community High School,Transfer School,High school,Common Core Geometry,2017,7,48.3,7,100.0,0,0.0,0,0.0,0,0.0
15K6982015English,15K698,South Brooklyn Community High School,Transfer School,High school,English,2015,16,68.4,5,31.3,11,68.8,2,12.5,6,37.5
15K6982016English,15K698,South Brooklyn Community High School,Transfer School,High school,English,2016,1,s,s,s,s,s,s,s,na,na
15K6982015Global History and Geography,15K698,South Brooklyn Community High School,Transfer School,High school,Global History and Geography,2015,37,55.4,28,75.7,9,24.3,0,0.0,na,na
15K6982016Global History and Geography,15K698,South Brooklyn Community High School,Transfer School,High school,Global History and Geography,2016,37,59.5,23,62.2,14,37.8,2,5.4,na,na
15K6982017Global History and Geography,15K698,South Brooklyn Community High School,Transfer School,High school,Global History and Geography,2017,37,57.6,22,59.5,15,40.5,4,10.8,na,na
15K6982015Integrated Algebra,15K698,South Brooklyn Community High School,Transfer School,High school,Integrated Algebra,2015,30,63.3,16,53.3,14,46.7,1,3.3,1,3.3
15K6982016Integrated Algebra,15K698,South Brooklyn Community High School,Transfer School,High school,Integrated Algebra,2016,26,62.1,15,57.7,11,42.3,1,3.8,1,3.8
15K6982015Living Environment,15K698,South Brooklyn Community High School,Transfer School,High school,Living Environment,2015,27,61.7,14,51.9,13,48.1,4,14.8,na,na
15K6982016Living Environment,15K698,South Brooklyn Community High School,Transfer School,High school,Living Environment,2016,22,65.7,9,40.9,13,59.1,2,9.1,na,na
15K6982017Living Environment,15K698,South Brooklyn Community High School,Transfer School,High school,Living Environment,2017,30,64.8,12,40.0,18,60.0,1,3.3,na,na
16K9592017Living Environment,16K959,BOYS AND GIRLS YABC,YABC,High school,Living Environment,2017,32,62.0,14,43.8,18,56.3,1,3.1,na,na
15K6982015Physical Settings/Earth Science,15K698,South Brooklyn Community High School,Transfer School,High school,Physical Settings/Earth Science,2015,5,s,s,s,s,s,s,s,na,na
15K6982016Physical Settings/Earth Science,15K698,South Brooklyn Community High School,Transfer School,High school,Physical Settings/Earth Science,2016,7,47.1,7,100.0,0,0.0,0,0.0,na,na
15K6982017Physical Settings/Earth Science,15K698,South Brooklyn Community High School,Transfer School,High school,Physical Settings/Earth Science,2017,11,48.9,9,81.8,2,18.2,0,0.0,na,na
15K6982015U.S. History and Government,15K698,South Brooklyn Community High School,Transfer School,High school,U.S. History and Government,2015,28,71.4,6,21.4,22,78.6,11,39.3,na,na
15K6982016U.S. History and Government,15K698,South Brooklyn Community High School,Transfer School,High school,U.S. History and Government,2016,36,69.4,15,41.7,21,58.3,13,36.1,na,na
15K6982017U.S. History and Government,15K698,South Brooklyn Community High School,Transfer School,High school,U.S. History and Government,2017,41,75.0,10,24.4,31,75.6,17,41.5,na,na
15K8212015Common Core Algebra,15K821,Sunset Park Prep,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2015,74,70.0,13,17.6,61,82.4,7,9.5,44,59.5
15K8212016Common Core Algebra,15K821,Sunset Park Prep,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,66,78.7,0,0.0,66,100.0,29,43.9,63,95.5
15K8212017Common Core Algebra,15K821,Sunset Park Prep,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,72,83.3,1,1.4,71,98.6,60,83.3,71,98.6
15K8212017Common Core English,15K821,Sunset Park Prep,General Academic,Junior High-Intermediate-Middle,Common Core English,2017,1,s,s,s,s,s,s,s,na,na
15K8212015Living Environment,15K821,Sunset Park Prep,General Academic,Junior High-Intermediate-Middle,Living Environment,2015,145,69.4,44,30.3,101,69.7,31,21.4,na,na
15K8212016Living Environment,15K821,Sunset Park Prep,General Academic,Junior High-Intermediate-Middle,Living Environment,2016,59,80.3,2,3.4,57,96.6,32,54.2,na,na
15K8212017Living Environment,15K821,Sunset Park Prep,General Academic,Junior High-Intermediate-Middle,Living Environment,2017,65,84.0,0,0.0,65,100.0,50,76.9,na,na
16K0352015Common Core Algebra,16K035,M.S. 035 Stephen Decatur,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2015,17,68.4,3,17.6,14,82.4,0,0.0,8,47.1
16K0352016Common Core Algebra,16K035,M.S. 035 Stephen Decatur,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,26,69.8,5,19.2,21,80.8,1,3.8,13,50.0
16K0352017Common Core Algebra,16K035,M.S. 035 Stephen Decatur,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,33,68.6,10,30.3,23,69.7,5,15.2,18,54.5
16K0352016Common Core English,16K035,M.S. 035 Stephen Decatur,General Academic,Junior High-Intermediate-Middle,Common Core English,2016,1,s,s,s,s,s,s,s,na,na
16K0352017Common Core English,16K035,M.S. 035 Stephen Decatur,General Academic,Junior High-Intermediate-Middle,Common Core English,2017,2,s,s,s,s,s,s,s,na,na
16K0352017Living Environment,16K035,M.S. 035 Stephen Decatur,General Academic,Junior High-Intermediate-Middle,Living Environment,2017,1,s,s,s,s,s,s,s,na,na
16K0572015Common Core Algebra,16K057,J.H.S. 057 Whitelaw Reid,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2015,13,69.0,2,15.4,11,84.6,0,0.0,7,53.8
16K0572016Common Core Algebra,16K057,J.H.S. 057 Whitelaw Reid,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,16,77.9,0,0.0,16,100.0,7,43.8,14,87.5
16K0572017Common Core Algebra,16K057,J.H.S. 057 Whitelaw Reid,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,24,66.1,10,41.7,14,58.3,3,12.5,11,45.8
16K0572017Common Core English,16K057,J.H.S. 057 Whitelaw Reid,General Academic,Junior High-Intermediate-Middle,Common Core English,2017,1,s,s,s,s,s,s,s,na,na
16K2622016Common Core Algebra,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,General Academic,K-8,Common Core Algebra,2016,1,s,s,s,s,s,s,s,na,na
16K2622017Common Core Algebra,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,General Academic,K-8,Common Core Algebra,2017,3,s,s,s,s,s,s,s,na,na
16K2622016Common Core English,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,General Academic,K-8,Common Core English,2016,2,s,s,s,s,s,s,s,na,na
16K2622017Common Core English,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,General Academic,K-8,Common Core English,2017,1,s,s,s,s,s,s,s,na,na
16K2672015Common Core Algebra,16K267,"M.S. 267 Math, Science & Technology",General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2015,2,s,s,s,s,s,s,s,na,na
16K2672016Common Core Algebra,16K267,"M.S. 267 Math, Science & Technology",General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,3,s,s,s,s,s,s,s,na,na
